Compound,Category,BL1-1_Mat,BL1-2_Mat_Bottom,BL1-2_Mat_Top ,BL2-23_Mat,LCL4_Mat,BL2-11_Streamers,BL1-1_Salt ,BL1-1_Salt_1,BL1-1_Salt_2,BL2-23_Salt,BL4_Salt,SL_Salt_2,BL2-1_Brine,BL2-2_Brine,BL_Sediment_3,BL1-1_Sediment,BL2-23_Sediment,BL4_Sediment,LCL4_Sediment,SL_Sediment_1,SL_Sediment_3,BL2-4_Brine,LCL5_Sediment
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477168235,0,0,0,0,0,0,0,0.636379415,0
Unknown,Unknown,0,0,0,0,0,0,0.02070911,0,0,0,0,0,1.630994197,0,0,0,0,0,0,0,0,0,0
C23:1 FAME,MUFA_Alkane,0,0,0,0,0,2.115719576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n-C23:0 ,Short_Saturated_Alkane,0,0,0,0.797548595,0,1.684336058,0,0,0,0,0,0,0.276143799,0,1.819408101,0.76361543,1.339960047,2.456184258,0.414569473,0.59112999,0.776931852,0,0.532070614
Unknownm,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335832215,0,0,0,0
n-C24:0 ,Long_Saturated_Alkane,0,0,0,0.507564601,0,0.740392262,0.035292047,0.041196677,0,0,0.060843615,0,0.465773941,0,0.817137905,0.429172517,0.520600954,0.653864893,0.304151715,0.294265447,0.447379907,0.426325131,0.322865658
Unknown,Unknown,0,0,0,0,0.416764574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184743313
Unknown,Unknown,0,0,0,0,0,0,0.021903563,0,0,0,0,0,0.896100348,0,0,0,0,0,0,0,0,0.62842614,0
n-C25:0,Long_Saturated_Alkane,0,0,0,0.623623791,0.841563332,1.259968933,0.0112269,0.032878804,0,0,0,0,0,0,1.845234533,0.844690059,1.092817471,1.809716714,0.704461163,0.555119821,0.713381492,0,0.898077411
Unknown,Unknown,0,0,0,0,0,0,0.01943778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0.027959683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0.519583234,0,0.017706901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,Unknown,0,0,0,0,0,0,0.02110305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
