RT,Compound,Category,BL1-1_Sediment,BL2-23_Sediment,BL2-2_Sediment_3,LCL4_Sediment,LCL5_Sediment,SL_Sediment_1,SL_Sediment_3,BL4_Sediment,BL1-2_Brine,BL2-23_Brine,BL4_Brine,BL2-4_Brine,LCL4_Brine,LCL5_Brine,BL2-2_Brine,BL2-11_Streamers,BL1-2_Mat_Top,BL1-2_Mat_Bottom,BL1-1_Mat,BL2-23_Mat,LCL4_Mat,LCL5_Mat,BL1-1_Salt,BL1-1_Salt_1,BL2-23_Salt,BL4_Salt,BL1-1_Salt_2,SL_Salt_2,SLSU_Spring,SLSL_Spring,SLSU_Sediment,SLP_Sediment
14,C18:1 FAME,MUFA,11.45400637,0,0.856910211,0,0,0,0,0,0,0,0,0,3.67242052,15.18888984,0,32.27779028,27.55975623,1.142753527,1.918630909,5.28780705,1.460978369,0.96486113,6.225863239,6.954993989,0,0.909159096,2.583363163,0,0,0,0,3.658316127
14.03,C18:1 FAME,MUFA,9.017554686,1.530774243,2.63414739,0,0.731901558,0,0.720407552,4.771121854,0,0,4.52047536,25.92506964,10.5786513,29.22421716,26.76109077,84.41447821,0,6.997398896,2.099411284,4.336465046,1.006116195,0,18.4423662,0,0,0.551603114,0,0,0,2.330420546,0.248934998,3.320528331
14.15,n-C18:0 FAME,Short_Saturated,3.026375044,2.111847925,0,0.381553013,0.623060951,0.901828766,1.699717391,3.343502486,1.884564283,1.734063128,2.733500653,3.237368025,2.037504275,5.100771957,2.622333711,6.763966813,11.62773032,9.288600906,14.87382176,7.27481681,9.877425804,4.362507862,2.75702737,2.565049345,0.71344206,0,0.636684674,0.280564316,2.120648807,0,0.659317094,0
,C18:1 FAME,MUFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.21,C19:1 FAME,MUFA,1.238101365,0.641079544,0,0.303844115,0.941961086,0,0,1.638391303,0,0,0,0,0,0,1.316151683,0,2.635008273,1.348289005,2.397048107,0,1.679290412,0.60377362,0,0,0,0,0,0,0,0,0,0
14.27,br-C17:1 FAME,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.743071093,7.139396823,6.258433646,14.07701658,1.837367653,0.79541062,0,0,0,0,0,0,0,0,0,0
14.46,n-C19:0 FAME,Short_Saturated ,0,0,0,0,0,0,0,1.978613671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36562504
14.55,Unknown,Unknown,0,0,0.363334223,0,0,0,0,3.388036925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460871362,0,0,0,0,0,0,0,1.892339807
14.58,C18 sulfur containing FAME,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.703537154,4.826382421,3.747117523,8.131074709,2.150911069,0,0,0,0,0,0,0,0,0,0,0
14.6,C18:2 FAME,PUFA,1.61288781,1.830479538,1.263508231,0,0.380160096,0.853836848,1.291474491,0,0,0,0,0.652953163,0,0,0,4.6694521,0,3.212431877,3.826137628,1.863352029,2.382251502,1.518734708,0,0,0,0,0,0,0,0,0,0
14.76,C19:1 FAME,MUFA,0,0,0,0,0,0,0,8.614697751,0,0,0,0,0,0,0,0,9.159318049,10.49561071,18.39113936,4.729750808,5.653693184,2.461244606,5.469126,2.642028944,0,0.22488252,0.508741337,0,0,0,0,1.637989991
14.79,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.23549261,9.343580354,26.93894794,13.81650035,16.58543629,5.321452731,0,0,0,0,0,0,0,0,0,0
14.81,C19:1 FAME,MUFA,2.044926378,0,0.497593965,0,0,0,0,5.181226569,0,0,0,0,0,0,0,4.441879904,0,0,0,0,0,0,0,0.750499805,0,0.141076125,0,0,0,0,0,0
15.15,OH-C15:0 FAME,Hydroxy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308681185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.18,C20:4 FAME,PUFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.069613664,0,0,0,0,0,0,0.47480016,0.219744388,0,0,0.15689478,0,0,1.428571429,0,0
